aerialDuelScc,aerialsWon,assists,bigChanceCreated,clearances,dribblesWon,errorsSum,finalThirdPass,finalThirdPassAcc,fouled,fouls,goals,goalsLost,interceptions,keyPasses,offsideWon,offsides,passSucc,passes,possession,rate,redCards,shots,shotsOT,tacklesSuccful,teamId,teamName,yelCards
0.471698,25,5,5,25,13,0,112,74,16,13,5,2,7,11,3,3,0.810379,501,0.585202,7.303571,0,11,5,15,13,利物浦,1
0.636364,28,2,2,17,16,0,121,98,8,8,2,0,17,12,3,3,0.814196,479,0.494106,7.293571,0,13,7,12,269,狼队,1
0.555556,25,2,1,42,7,0,81,48,10,6,2,0,10,5,3,2,0.665354,254,0.266129,7.236429,0,6,4,13,4,纽卡斯尔,0
0.371429,13,3,3,18,8,0,237,203,9,6,4,1,6,14,0,2,0.891473,774,0.75514,7.115714,0,17,8,8,11,曼城,1
0.5,23,1,3,27,13,0,144,108,16,13,2,0,14,8,1,3,0.820738,569,0.630181,7.091429,0,12,6,11,10,莱斯特城,3
0.444444,16,2,1,15,16,0,177,141,9,18,2,1,6,20,1,0,0.869029,649,0.644612,7.005,0,25,9,13,1,切尔西,2
0.490909,27,2,2,15,11,0,126,68,7,12,2,1,13,11,1,3,0.688525,366,0.401241,6.959286,0,14,5,27,15,南安普顿,1
0.676471,23,1,0,24,7,0,107,72,9,11,2,1,6,16,7,0,0.815981,413,0.50814,6.932143,0,20,9,11,263,布莱顿,1
0.407407,11,0,1,15,13,0,131,90,9,9,2,1,16,7,1,1,0.759637,441,0.466327,6.926923,0,12,7,20,2,曼联,0
0.555556,20,1,1,30,10,1,99,79,18,10,1,2,20,8,0,1,0.802292,349,0.355388,6.878462,0,9,3,22,7,阿斯顿维拉,1
0.409091,18,1,0,30,11,0,92,61,14,6,1,0,12,5,0,1,0.736434,258,0.308126,6.86,1,7,2,16,19,水晶宫,3
0.323529,11,1,1,13,15,1,114,82,10,10,1,2,8,10,0,7,0.835476,389,0.49186,6.645714,0,12,5,19,12,阿森纳,3
0.592593,16,0,1,19,22,1,118,80,9,9,1,2,14,5,1,1,0.790744,497,0.533673,6.620714,0,8,5,18,3,热刺,1
0.590909,26,0,0,18,13,0,191,152,6,15,0,1,8,5,1,0,0.867826,575,0.691874,6.586429,0,6,3,26,208,伯恩茅斯,3
0.509091,28,1,2,30,11,1,104,75,12,7,1,2,12,9,3,1,0.793594,562,0.598759,6.560714,0,10,3,12,209,诺维奇,1
0.363636,16,0,1,17,17,1,123,81,7,9,0,2,13,5,3,3,0.814516,496,0.505894,6.479286,0,6,3,23,16,西汉姆联,2
0.5,23,0,0,30,7,0,101,61,10,16,0,2,15,4,3,1,0.697531,324,0.369819,6.352143,0,4,1,17,207,沃特福德,2
0.444444,20,0,1,13,6,0,230,176,6,10,0,2,2,10,2,3,0.858198,677,0.733871,6.340714,0,13,6,18,507,谢菲尔德联,2
0.628571,22,1,1,24,4,0,78,37,6,9,1,4,13,3,2,0,0.652,250,0.24486,6.216429,0,4,2,14,20,伯恩利,1
0.528302,28,1,3,15,8,1,87,50,12,17,2,5,14,7,3,3,0.722714,339,0.414798,6.195,0,12,4,19,14,埃弗顿,2
