a_no,b_name,c_pass_completed_rate,d_flying_header,e_mark,f_goals,g_shoot_total,h_shoot_on_target,i_great_opportunity,j_seize_the_opportunity,k_dribble,l_violated,m_offside,n_fumble,o_be_shoot,p_intercept,q_clearance_kick,r_foul,s_critical_miss,t_assisting,u_key_pass,v_possession,w_pass_total,x_PS,y_FTPS
1,利物浦,80.7,16.3,7.05,12,17.5,6.3,12,41.7,10,8,0.8,3,10.5,16,16.3,9.8,4,9,14.3,55.8,532,80.7,74.4
2,诺维奇,83.6,10.3,6.61,6,10.3,5.3,5,60,11,10.5,2.5,10,17,14,25.5,9.3,0,5,8.5,51.2,482.8,83.6,72.9
3,曼城,88.8,13.5,7.27,14,19.3,7.5,17,64.7,8.8,5.8,3,3,6,16,14.8,12.5,2,13,16.5,58,619.5,88.8,78.8
4,西汉姆联,79.3,16.5,6.77,6,11.8,6,10,50,14.5,11.5,2.5,7,15.3,21.3,13.8,10.8,2,3,9.3,46,409,79.3,69.6
5,伯恩利,61.3,22,6.7,5,12,3.8,5,40,7.3,11.5,3,6,14.5,15.8,21.5,9.5,2,3,8.5,41.5,297.5,61.3,47.7
6,布莱顿,80.3,19.5,6.57,4,9.8,3,10,20,8.3,10.8,2.3,7,11.5,19.5,16,9.3,1,2,8.3,50.9,459.8,80.3,66.2
7,伯恩茅斯,75.6,17.8,6.57,5,10.8,4,7,42.9,8,12.3,1.5,8,15,13.5,19.8,10.3,2,1,7.8,42.4,365,75.6,64.1
8,水晶宫,73.6,21,6.78,3,9.8,3.5,3,33.3,8,12.5,1.8,2,14.3,21.3,23.5,15,2,1,6.5,44.8,345.3,73.6,59.9
9,谢菲尔德联,77.2,23,6.65,5,9.5,2.5,8,37.5,8.3,7.8,0.5,5,10.5,16.3,23.3,14.3,3,2,6.5,45.6,407.5,77.2,68.1
10,埃弗顿,78.1,24.3,6.75,4,12.3,3,7,28.6,11.5,12,1.3,4,7.3,18.3,23.8,13.8,2,4,9.5,55.8,448.3,78.1,67.2
11,沃特福德,78.3,20.3,6.45,2,13.8,2.8,5,20,7.8,9.5,0.5,8,11.5,19.3,15.3,12.3,0,1,10.3,51.6,440.8,78.3,63.8
12,南安普顿,69.3,17.5,6.54,4,11.8,3,8,12.5,8,6.3,1.3,6,14.5,16.5,23,12.3,2,3,7.5,45.7,363.8,69.3,53.4
13,热刺,86.9,10.5,6.74,7,16,5,8,37.5,11.3,10,1,6,17.8,14.5,14.8,11.5,1,4,11.5,56.3,559,86.9,79.6
14,阿斯顿维拉,79.6,17,6.69,4,11.3,4,4,50,8.3,14.5,3.3,6,19.3,16.5,27.3,11.3,3,4,9.5,46.4,351,79.6,70.6
15,莱斯特城,80.8,18,6.87,6,12.8,2.8,7,57.1,11.3,10.3,2.5,3,9.3,21,23.8,8,2,6,9.8,54.7,528.8,80.8,65.1
16,狼队,74.2,25,6.63,4,9.8,2.8,5,60,10,8,1.3,5,13.3,16,24,12.8,2,2,7.5,45,386.5,74.2,67.1
17,阿森纳,85,15.3,6.8,6,14.5,5.5,6,50,13.5,11.3,3.8,6,16.3,15.8,21.8,9.5,3,5,11.5,56,528,85,75.5
18,纽卡斯尔,77.2,16,6.67,3,10.5,3.5,3,33.3,8.5,9.3,3,5,13.3,17.5,24.5,8.3,0,3,8.3,40.2,342.5,77.2,65.3
19,曼联,83.5,20.8,6.84,7,15.8,4.5,9,33.3,9.5,15.5,1,4,9.8,16.8,14,9.5,0,6,11.8,57.8,554,83.5,75.5
20,切尔西,84.2,17,6.71,6,17,6.3,9,33.3,14.3,12,1.3,9,9.3,22,14.5,9.3,2,3,13.8,54.1,557.8,84.2,75.8
