confrontation_win_rate,date,dribble,goals_away,goals_home,goals_total,home_or_away,intercept,mark,own_goal,pass_center,pass_completed_rate,pass_long,pass_short,pass_through,pass_total,penalty,points,possession,round,score,shoot_counterattack,shoot_on_target,shoot_placekick,shoot_positional,shoot_total
62,2018-09-01 22:00,13,,,1,客,25,7.17,0,16,84,64,434,1,515,0,,52%,第4轮,0 : 1,0,6,2,13,15
55,2018-10-27 22:00,12,,,0,客,11,6.64,0,36,84,69,457,1,563,0,,60%,第10轮,1 : 0,0,7,4,20,24
51,2018-08-18 22:00,10,,,0,客,18,6.35,0,29,81,54,452,1,536,0,,57%,第2轮,2 : 0,0,3,0,11,11
69,2018-11-12 00:30,7,,,1,客,19,6.87,0,7,71,73,224,1,305,0,,28%,第12轮,1 : 1,5,5,2,6,13
56,2018-12-10 00:00,4,,,2,客,13,6.8,0,19,80,63,368,1,451,0,,50%,第16轮,1 : 2,2,6,6,5,13
52,2018-12-01 04:00,5,,,1,客,21,6.63,0,18,68,74,273,0,365,0,,52%,第14轮,2 : 1,1,4,5,9,15
43,2019-01-15 04:00,9,,,0,客,18,6.14,0,1,67,75,208,2,286,0,,24%,第22轮,3 : 0,1,0,0,1,2
43,2019-03-30 23:00,16,,,0,客,16,6.28,0,22,77,64,474,1,561,0,,63%,第32轮,2 : 0,0,1,2,6,8
56,2019-04-13 22:00,13,,,1,客,17,6.48,0,21,81,58,572,0,651,0,,69%,第34轮,3 : 1,0,2,11,6,17
53,2018-10-06 22:00,4,,,1,客,20,6.87,0,8,68,69,247,1,325,0,,33%,第8轮,0 : 1,1,2,1,5,7
52,2018-12-26 20:30,11,,,1,客,23,6.81,0,22,86,90,600,0,712,0,,70%,第19轮,1 : 1,0,5,0,14,14
59,2018-09-22 22:00,7,,,1,客,13,6.82,0,9,74,53,330,1,393,0,,36%,第6轮,1 : 1,2,8,3,6,11
54,2018-12-29 23:00,16,,,3,客,18,7.04,0,24,80,67,352,2,445,0,,39%,第20轮,1 : 3,1,4,4,6,11
44,2019-02-23 23:00,10,,,1,客,21,6.51,0,21,75,85,388,0,494,1,,55%,第27轮,1 : 1,0,2,4,5,10
53,2019-04-27 22:00,12,,,2,客,22,6.93,0,16,75,67,325,1,409,0,,44%,第36轮,1 : 2,1,4,6,4,11
59,2019-05-12 22:00,4,,,0,客,14,6.22,0,7,76,81,349,1,438,0,,41%,第38轮,2 : 0,0,2,1,6,7
38,2019-02-27 03:45,12,,,0,客,20,6.51,0,10,77,70,396,1,477,0,,50%,第28轮,1 : 0,0,0,2,4,6
60,2019-03-10 22:05,4,,,1,客,34,6.91,0,1,71,59,219,1,280,0,,24%,第30轮,1 : 1,1,1,1,0,2
38,2019-02-02 23:00,5,,,3,客,17,6.91,0,3,67,67,242,1,313,1,,36%,第25轮,1 : 3,0,4,1,6,8
